simID,repeatID,weather_path,current_julian,GDD,percent_flower_open,percent_fruits_ripeness,percent_fruit_set,percent_fruit_setII,percent_malformed_berries,avg_fruit_mass,avg_nb_seeds,avg_healthy_berries,kg_yields_ha
10,1,../includes/Weather-Strawberry-Greenhouse.csv,34,496.0,0.05833333333333333,0.0,0.02569444444444444,0.01712962962962963,0.04374999999999999,0.3165625,3.50974537037037,0.30833333333333335,0.01139625
10,1,../includes/Weather-Strawberry-Greenhouse.csv,35,514.0,0.0625,0.0,0.02986111111111111,0.01990740740740741,0.05208333333333333,0.38991319444444444,3.897708333333333,0.35833333333333334,0.014036875
10,1,../includes/Weather-Strawberry-Greenhouse.csv,36,532.0,0.06666666666666667,0.0,0.03611111111111111,0.02407407407407407,0.06041666666666666,0.5617881944444445,4.79238425925926,0.43333333333333335,0.020224375
10,1,../includes/Weather-Strawberry-Greenhouse.csv,37,550.0,0.06805555555555555,0.0,0.05069444444444445,0.03379629629629629,0.08541666666666667,0.7003645833333334,6.88960648148148,0.6083333333333333,0.025213125
10,1,../includes/Weather-Strawberry-Greenhouse.csv,38,568.0,0.08055555555555556,0.0,0.06319444444444446,0.04212962962962963,0.10555555555555557,1.0072048611111115,8.570625,0.7583333333333333,0.03625937499999999
10,1,../includes/Weather-Strawberry-Greenhouse.csv,39,586.0,0.08472222222222223,0.0,0.0923611111111111,0.06157407407407411,0.15902777777777774,1.1435590277777778,12.272939814814816,1.1083333333333334,0.04116812499999999
10,1,../includes/Weather-Strawberry-Greenhouse.csv,40,604.0,0.09722222222222222,0.0,0.10902777777777777,0.07268518518518521,0.19236111111111107,1.2071701388888891,13.868773148148147,1.3083333333333333,0.04345812499999998
10,1,../includes/Weather-Strawberry-Greenhouse.csv,41,622.0,0.1,0.0,0.11944444444444444,0.07962962962962963,0.2131944444444444,1.3214756944444448,14.57803240740741,1.4333333333333333,0.04757312499999998
10,1,../includes/Weather-Strawberry-Greenhouse.csv,42,640.0,0.08888888888888889,0.0,0.13645833333333332,0.09097222222222219,0.25069444444444444,1.475503472222222,15.894699074074076,1.6375,0.053118125
10,1,../includes/Weather-Strawberry-Greenhouse.csv,43,658.0,0.08472222222222223,0.0,0.15729166666666666,0.10486111111111103,0.2923611111111112,1.6871180555555552,17.67062500000001,1.8875,0.06073625000000001
