simID,repeatID,weather_path,c.clone_ID,c.clone_of_cultivar,c.clone_size,c.clone_location_x,c.clone_location_y,c.clone_avg_beevisits_stem,c.clone_fruitset_mean,c.clone_fruitset_std,c.clone_fruitsetII_mean,c.clone_fruitsetII_std,c.clone_fruitmass_mean,c.clone_seeds_mean,c.clone_seeds_std,c.clone_healthy_berries,c.clone_malformed_berries,c.clone_percent_malformed_berries,c.clone_pollen_accepted,c.clone_pollen_received
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone0,1,0.03121445152258042,4.700000000000002,1.1,1.6666666666666667,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,3.2291666666666665,37.333333333333336,36.19801508779585,9,9,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone1,2,0.03121445152258042,4.700000000000002,1.2999999999999998,3.3333333333333335,1.0,0.0,1.0,0.0,4.7,68.55555555555556,31.508180399679784,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone2,1,0.03121445152258042,4.700000000000002,1.7000000000000002,1.6666666666666667,1.0,0.0,1.0,0.0,3.2083333333333335,48.22222222222222,17.181672693402405,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone3,2,0.03121445152258042,4.700000000000002,1.9000000000000001,3.3333333333333335,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,4.633333333333334,62.22222222222222,50.62376351180111,9,9,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone4,1,0.03121445152258042,4.700000000000002,2.2999999999999994,2.6666666666666665,0.8333333333333334,0.31426968052735443,0.7777777777777778,0.31426968052735443,4.420833333333333,69.8888888888889,27.25236426486134,10,10,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone5,2,0.03121445152258042,4.700000000000002,2.5000000000000004,1.6666666666666667,1.0,0.0,1.0,0.0,2.866666666666667,38.72222222222222,8.694755053024712,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone6,1,0.03121445152258042,4.700000000000002,2.9000000000000004,4.333333333333333,1.0,0.0,1.0,0.0,6.4125000000000005,100.05555555555556,23.183779983449373,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone7,2,0.03121445152258042,4.700000000000002,3.0999999999999996,2.6666666666666665,0.9166666666666666,0.15713484026367724,0.8888888888888888,0.15713484026367724,3.8208333333333333,60.72222222222223,29.1523245160889,11,11,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone8,1,0.03121445152258042,4.700000000000002,3.5,2.0,1.0,0.0,1.0,0.0,3.3791666666666664,48.833333333333336,16.442379750262788,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone9,2,0.03121445152258042,4.700000000000002,3.7,2.0,0.8333333333333334,0.3142696805273545,0.7777777777777777,0.3142696805273545,2.4499999999999997,34.77777777777778,20.48546609154047,10,10,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone10,1,0.03121445152258042,4.700000000000002,4.1,4.0,0.6666666666666666,0.43744488188954506,0.6111111111111112,0.43744488188954506,2.625,44.17777777777778,39.73043737892886,8,8,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone11,2,0.03121445152258042,4.700000000000002,4.299999999999999,10.333333333333334,1.0,0.0,1.0,0.0,9.787500000000001,157.05555555555557,92.08413356447998,12,11,0.9166666666666666,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone12,1,0.03121445152258042,4.700000000000002,4.7,1.6666666666666667,0.75,0.4714045207910317,0.6666666666666666,0.4714045207910317,2.991666666666667,34.38888888888889,31.530800148817846,9,9,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone13,2,0.03121445152258042,4.700000000000002,4.900000000000001,7.666666666666667,1.0,0.0,1.0,0.0,6.058333333333334,109.22222222222221,98.4744122934644,12,9,0.75,0.0,0.0
