simID,repeatID,planting_pattern,f.Flower_ID,f.Flower_of_cultivar,f.Flower_in_clone_ID,f.Flower_in_inflorescence_ID,f.Flower_bloom_day,f.Flower_ripeness_day,f.Flower_fruit_mass,f.Flower_beery_malformed,f.Flower_bee_visit,f.Flower_bee_visit_day1,f.Flower_bee_visit_day2,f.Flower_bee_visit_day3,f.Flower_bee_visit_day4,f.Flower_bee_visit_day5,f.Flower_bee_visit_success,f.Flower_nb_pollen_selfcultivar,f.Flower_nb_pollen_othercultivar,f.Flower_nb_accepted_pollen
1,5,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,2,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,3,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,4,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,5,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,6,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,7,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,8,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,9,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,10,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,11,1,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,12,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,13,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,14,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,15,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,16,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,17,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,18,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,19,1,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
